Ubigeo;Distrito;Provincia;Departamento;Poblacion;Superficie;Y;X
010101;Chachapoyas;Chachapoyas;Amazonas;29171;153.78;-6.2294;-77.8714
010102;Asuncion;Chachapoyas;Amazonas;288;25.71;-6.0317;-77.7122
010103;Balsas;Chachapoyas;Amazonas;1644;357.09;-6.8375;-78.0214
010104;Cheto;Chachapoyas;Amazonas;591;56.97;-6.2558;-77.7003
010105;Chiliquin;Chachapoyas;Amazonas;687;143.43;-6.0778;-77.7392
010106;Chuquibamba;Chachapoyas;Amazonas;2064;278.63;-6.9333;-77.8575
010107;Granada;Chachapoyas;Amazonas;379;181.41;-6.0997;-77.6344
010108;Huancas;Chachapoyas;Amazonas;1329;48.79;-6.1747;-77.8686
010109;La Jalca;Chachapoyas;Amazonas;5513;380.39;-6.4825;-77.8192
010110;Leimebamba;Chachapoyas;Amazonas;4206;373.14;-6.6636;-77.8006
010111;Levanto;Chachapoyas;Amazonas;862;77.54;-6.3086;-77.8994
010112;Magdalena;Chachapoyas;Amazonas;782;135.47;-6.3736;-77.9017
010113;Mariscal Castilla;Chachapoyas;Amazonas;986;83.58;-6.5939;-77.8053
010114;Molinopampa;Chachapoyas;Amazonas;2750;333.86;-6.2056;-77.6683
010115;Montevideo;Chachapoyas;Amazonas;572;119.01;-6.6133;-77.8025
010116;Olleros;Chachapoyas;Amazonas;363;125.16;-6.0239;-77.6761
010117;Quinjalca;Chachapoyas;Amazonas;830;91.59;-6.085;-77.66
010118;San Francisco de Daguas;Chachapoyas;Amazonas;351;47.41;-6.2333;-77.7392
010119;San Isidro de Maino;Chachapoyas;Amazonas;703;101.67;-6.3533;-77.8439
010120;Soloco;Chachapoyas;Amazonas;1302;84.48;-6.2619;-77.7453
010121;Sonche;Chachapoyas;Amazonas;218;113.26;-6.2183;-77.7753
010201;La Peca;Bagua;Amazonas;8048;144.29;-5.6092;-78.4344
010202;Aramango;Bagua;Amazonas;10940;809.07;-5.4156;-78.4361
010203;Copallin;Bagua;Amazonas;6319;99.05;-5.6733;-78.4228
010204;El Parco;Bagua;Amazonas;1492;18.48;-5.6247;-78.4764
010205;Bagua;Bagua;Amazonas;26091;150.99;-5.6389;-78.5319
010206;Imaza;Bagua;Amazonas;24323;4430.84;-5.16;-78.2903
010301;Jumbilla;Bongara;Amazonas;1764;154.18;-5.9006;-77.7958
010302;Corosha;Bongara;Amazonas;1046;45.67;-5.8294;-77.84
010303;Cuispes;Bongara;Amazonas;899;110.72;-5.9236;-77.9392
010304;Chisquilla;Bongara;Amazonas;335;174.96;-5.9003;-77.7839
010305;Churuja;Bongara;Amazonas;269;33.34;-6.0192;-77.9517
010306;Florida;Bongara;Amazonas;8663;203.22;-5.8336;-77.9714
010307;Recta;Bongara;Amazonas;201;24.58;-5.9194;-77.7861
010308;San Carlos;Bongara;Amazonas;310;100.76;-5.9636;-77.9447
010309;Shipasbamba;Bongara;Amazonas;1819;127.29;-5.8744;-78.0692
010310;Valera;Bongara;Amazonas;1281;90.14;-6.0425;-77.9139
010311;Yambrasbamba;Bongara;Amazonas;8470;1715.96;-5.6908;-77.9772
010312;Jazan;Bongara;Amazonas;9349;88.83;-5.9419;-77.9806
010401;Lamud;Luya;Amazonas;2292;69.49;-6.1308;-77.9503
010402;Camporredondo;Luya;Amazonas;7131;376.01;-6.2136;-78.3186
010403;Cocabamba;Luya;Amazonas;2517;355.85;-6.6297;-78.0303
010404;Colcamar;Luya;Amazonas;2263;106.6;-6.3175;-78.0019
010405;Conila;Luya;Amazonas;2083;256.17;-6.1592;-78.1419
010406;Inguilpata;Luya;Amazonas;587;118.04;-6.2428;-77.9561
010407;Longuita;Luya;Amazonas;1161;57.91;-6.4147;-77.9681
010408;Lonya Chico;Luya;Amazonas;961;83.82;-6.2328;-77.9564
010409;Luya;Luya;Amazonas;4420;91.21;-6.165;-77.9469
010410;Luya Viejo;Luya;Amazonas;489;73.87;-6.1275;-78.0847
010411;Maria;Luya;Amazonas;945;80.27;-6.4517;-77.9733
010412;Ocalli;Luya;Amazonas;4259;177.39;-6.2347;-78.2667
010413;Ocumal;Luya;Amazonas;4194;235.86;-6.3061;-78.2294
010414;Pisuquia;Luya;Amazonas;6132;306.5;-6.5114;-78.0747
010415;San Cristobal;Luya;Amazonas;685;33.36;-6.0997;-77.9525
010416;San Francisco del Yeso;Luya;Amazonas;821;113.94;-6.5861;-77.8469
010417;San Jeronimo;Luya;Amazonas;880;214.66;-6.0344;-77.9669
010418;San Juan de Lopecancha;Luya;Amazonas;506;88.02;-6.4572;-77.8969
010419;Santa Catalina;Luya;Amazonas;1908;126.21;-6.1117;-78.0633
010420;Santo Tomas;Luya;Amazonas;3537;84.93;-6.5617;-77.8739
010421;Tingo;Luya;Amazonas;1363;102.67;-6.3761;-77.9056
010422;Trita;Luya;Amazonas;1378;12.68;-6.1519;-77.9806
010423;Providencia;Luya;Amazonas;1536;71.22;-6.3108;-78.2503
010501;San Nicolas;Rodriguez de Mendoza;Amazonas;5290;206.01;-6.3956;-77.4831
010502;Cochamal;Rodriguez de Mendoza;Amazonas;504;199.44;-6.3933;-77.5889
010503;Chirimoto;Rodriguez de Mendoza;Amazonas;2079;153.0;-6.5283;-77.4869
010504;Huambo;Rodriguez de Mendoza;Amazonas;2542;99.56;-6.4275;-77.5369
010505;Limabamba;Rodriguez de Mendoza;Amazonas;3049;317.88;-6.5025;-77.5097
010506;Longar;Rodriguez de Mendoza;Amazonas;1619;66.24;-6.3853;-77.5461
010507;Milpuc;Rodriguez de Mendoza;Amazonas;599;26.8;-6.4983;-77.4358
010508;Mariscal Benavides;Rodriguez de Mendoza;Amazonas;1376;176.18;-6.3697;-77.5003
010509;Omia;Rodriguez de Mendoza;Amazonas;9787;175.13;-6.4686;-77.3947
010510;Santa Rosa;Rodriguez de Mendoza;Amazonas;457;34.11;-6.4542;-77.4539
010511;Totora;Rodriguez de Mendoza;Amazonas;448;6.02;-6.4914;-77.4711
010512;Vista Alegre;Rodriguez de Mendoza;Amazonas;3803;899.02;-6.1514;-77.3019
010601;Nieva;Condorcanqui;Amazonas;29213;4481.63;-4.5947;-77.8672
010602;Rio Santiago;Condorcanqui;Amazonas;16986;8035.28;-4.0106;-77.7658
010603;El Cenepa;Condorcanqui;Amazonas;9620;5458.48;-4.4503;-78.1592
010701;Bagua Grande;Utcubamba;Amazonas;54033;746.64;-5.7558;-78.4428
010702;Cajaruro;Utcubamba;Amazonas;28491;1746.23;-5.7364;-78.4267
010703;Cumba;Utcubamba;Amazonas;8752;292.66;-5.9317;-78.6653
010704;El Milagro;Utcubamba;Amazonas;6399;313.89;-5.6367;-78.5578
010705;Jamalca;Utcubamba;Amazonas;8243;357.98;-5.9158;-78.2203
010706;Lonya Grande;Utcubamba;Amazonas;10443;327.92;-6.0956;-78.4219
010707;Yamon;Utcubamba;Amazonas;2841;57.61;-6.0525;-78.5322
020101;Huaraz;Huaraz;Ancash;65663;432.99;-9.5272;-77.5333
020102;Independencia;Huaraz;Ancash;75559;342.95;-9.5189;-77.5344
