ubigeo;departamento;provincia;distrito
010101;Amazonas;Chachapoyas;Chachapoyas
010102;Amazonas;Chachapoyas;Asunción
010103;Amazonas;Chachapoyas;Balsas
010104;Amazonas;Chachapoyas;Cheto
010105;Amazonas;Chachapoyas;Chiliquín
010106;Amazonas;Chachapoyas;Chuquibamba
010107;Amazonas;Chachapoyas;Granada
010108;Amazonas;Chachapoyas;Huancas
010109;Amazonas;Chachapoyas;La Jalca
010110;Amazonas;Chachapoyas;Leimebamba
010111;Amazonas;Chachapoyas;Levanto
010112;Amazonas;Chachapoyas;Magdalena
010113;Amazonas;Chachapoyas;Mariscal Castilla
010114;Amazonas;Chachapoyas;Molinopampa
010115;Amazonas;Chachapoyas;Montevideo
010116;Amazonas;Chachapoyas;Olleros
010117;Amazonas;Chachapoyas;Quinjalca
010118;Amazonas;Chachapoyas;San Francisco de Daguas
010119;Amazonas;Chachapoyas;San Isidro de Maino
010120;Amazonas;Chachapoyas;Soloco
010121;Amazonas;Chachapoyas;Sonche
010201;Amazonas;Bagua;La Peca
010202;Amazonas;Bagua;Aramango
010203;Amazonas;Bagua;Copallín
010204;Amazonas;Bagua;El Parco
010205;Amazonas;Bagua;Bagua
010206;Amazonas;Bagua;Imaza
010301;Amazonas;Bongará;Jumbilla
010302;Amazonas;Bongará;Corosha
010303;Amazonas;Bongará;Cuispes
010304;Amazonas;Bongará;Chisquilla
010305;Amazonas;Bongará;Churuja
010306;Amazonas;Bongará;Florida
010307;Amazonas;Bongará;Recta
010308;Amazonas;Bongará;San Carlos
010309;Amazonas;Bongará;Shipasbamba
010310;Amazonas;Bongará;Valera
010311;Amazonas;Bongará;Yambrasbamba
010312;Amazonas;Bongará;Jazán
010401;Amazonas;Luya;Lámud
010402;Amazonas;Luya;Camporredondo
010403;Amazonas;Luya;Cocabamba
010404;Amazonas;Luya;Colcamar
010405;Amazonas;Luya;Conila
010406;Amazonas;Luya;Inguilpata
010407;Amazonas;Luya;Longuita
010408;Amazonas;Luya;Lonya Chico
010409;Amazonas;Luya;Luya
010410;Amazonas;Luya;Luya Viejo
010411;Amazonas;Luya;María
010412;Amazonas;Luya;Ocalli
010413;Amazonas;Luya;Ocumal
010414;Amazonas;Luya;Pisuquia
010415;Amazonas;Luya;San Cristóbal
010416;Amazonas;Luya;San Francisco del Yeso
010417;Amazonas;Luya;San Jerónimo
010418;Amazonas;Luya;San Juan de Lopecancha
010419;Amazonas;Luya;Santa Catalina
010420;Amazonas;Luya;Santo Tomás
010421;Amazonas;Luya;Tingo
010422;Amazonas;Luya;Trita
010423;Amazonas;Luya;Providencia
010501;Amazonas;Rodríguez de Mendoza;San Nicolás
010502;Amazonas;Rodríguez de Mendoza;Cochamal
010503;Amazonas;Rodríguez de Mendoza;Chirimoto
010504;Amazonas;Rodríguez de Mendoza;Huambo
010505;Amazonas;Rodríguez de Mendoza;Limabamba
010506;Amazonas;Rodríguez de Mendoza;Longar
010507;Amazonas;Rodríguez de Mendoza;Milpuc
010508;Amazonas;Rodríguez de Mendoza;Mariscal Benavides
010509;Amazonas;Rodríguez de Mendoza;Omia
010510;Amazonas;Rodríguez de Mendoza;Santa Rosa
010511;Amazonas;Rodríguez de Mendoza;Totora
010512;Amazonas;Rodríguez de Mendoza;Vista Alegre
010601;Amazonas;Condorcanqui;Nieva
010602;Amazonas;Condorcanqui;Río Santiago
010603;Amazonas;Condorcanqui;El Cenepa
010701;Amazonas;Utcubamba;Bagua Grande
010702;Amazonas;Utcubamba;Cajaruro
010703;Amazonas;Utcubamba;Cumba
010704;Amazonas;Utcubamba;El Milagro
010705;Amazonas;Utcubamba;Jamalca
010706;Amazonas;Utcubamba;Lonya Grande
010707;Amazonas;Utcubamba;Yamón
020101;Áncash;Huaraz;Huaraz
020102;Áncash;Huaraz;Independencia
020103;Áncash;Huaraz;Cochabamba
