FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_MUN;QRESIDUOS _VAL_INORGAN;PERIODO
20241212;1;10101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;37,870;37,125;745;9,872.60;140.6;2019
20241212;2;10102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;281;147;134;41.49;0.0;2019
20241212;3;10103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1,202;336;866;76.68;0.0;2019
20241212;4;10104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;696;467;229;106.58;0.0;2019
20241212;5;10105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;604;178;426;40.62;0.0;2019
20241212;6;10106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;1,955;521;1,434;118.90;0.0;2019
20241212;7;10107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;532;183;349;51.66;0.0;2019
20241212;8;10108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1,395;1,338;57;337.63;1.5;2019
20241212;9;10109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;4,080;2,312;1,768;652.6;0.0;2019
20241212;10;10110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;3,845;2,859;986;1,013.7;7.1;2019
20241212;11;10111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;817;449;368;102.5;0.0;2019
20241212;12;10112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;913;731;182;206.3;0.5;2019
20241212;13;10113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1,507;1,036;471;256.9;0.6;2019
20241212;14;10114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2,296;631;1,665;144.00;0.0;2019
20241212;15;10115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;503;461;42;107.2;0.2;2019
20241212;16;10116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;429;141;288;39.80;0.0;2019
20241212;17;10117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;807;95;712;26.82;0.0;2019
20241212;18;10118;SELVA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;323;238;85;50.88;2.4;2019
20241212;19;10119;SELVA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;599;429;170;121.1;2.3;2019
20241212;20;10120;SELVA;AMAZONAS;CHACHAPOYAS;SOLOCO;1,279;217;1,062;61.25;0.0;2019
20241212;21;10121;SELVA;AMAZONAS;CHACHAPOYAS;SONCHE;274;106;168;29.92;0.0;2019
20241212;22;10201;SELVA;AMAZONAS;BAGUA;BAGUA;29,540;26,870;2,670;5,969.6;40.7;2019
20241212;23;10202;SELVA;AMAZONAS;BAGUA;ARAMANGO;10,300;2,874;7,426;1,198.9;0.0;2019
20241212;24;10203;SELVA;AMAZONAS;BAGUA;COPALLIN;4,787;2,370;2,417;556.1;0.0;2019
20241212;25;10204;SELVA;AMAZONAS;BAGUA;EL PARCO;1,292;669;623;175.8;0.0;2019
20241212;26;10205;SELVA;AMAZONAS;BAGUA;IMAZA;31,300;5,618;25,682;1,552.57;0.0;2019
20241212;27;10206;SELVA;AMAZONAS;BAGUA;LA PECA;6,631;4,093;2,538;789.7;0.0;2019
20241212;28;10301;SELVA;AMAZONAS;BONGARA;JUMBILLA;1,354;1,112;242;417.48;7.9;2019
20241212;29;10302;SELVA;AMAZONAS;BONGARA;CHISQUILLA;321;124;197;35.00;0.0;2019
20241212;30;10303;SELVA;AMAZONAS;BONGARA;CHURUJA;301;291;10;60.6;6.6;2019
20241212;31;10304;SELVA;AMAZONAS;BONGARA;COROSHA;819;80;739;22.58;0.0;2019
20241212;32;10305;SELVA;AMAZONAS;BONGARA;CUISPES;694;384;310;108.4;0.0;2019
20241212;33;10306;SELVA;AMAZONAS;BONGARA;FLORIDA;6,409;3,858;2,551;945.49;0.0;2019
20241212;34;10307;SELVA;AMAZONAS;BONGARA;JAZAN;7,994;6,721;1,273;1,051.4;16.3;2019
20241212;35;10308;SELVA;AMAZONAS;BONGARA;RECTA;219;63;156;17.97;0.0;2019
20241212;36;10309;SELVA;AMAZONAS;BONGARA;SAN CARLOS;535;386;149;109.0;0.0;2019
20241212;37;10310;SELVA;AMAZONAS;BONGARA;SHIPASBAMBA;1,656;865;791;244.2;0.0;2019
20241212;38;10311;SELVA;AMAZONAS;BONGARA;VALERA;868;282;586;79.6;0.0;2019
20241212;39;10312;SELVA;AMAZONAS;BONGARA;YAMBRASBAMBA;5,802;2,246;3,556;633.99;0.0;2019
20241212;40;10401;SELVA;AMAZONAS;CONDORCANQUI;NIEVA;21,071;4,403;16,668;1,291.55;43.2;2019
20241212;41;10402;SELVA;AMAZONAS;CONDORCANQUI;EL CENEPA;12,213;1,142;11,071;325.68;0.0;2019
20241212;42;10403;SELVA;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;17,543;2,380;15,163;671.82;0.0;2019
20241212;43;10501;SIERRA;AMAZONAS;LUYA;LAMUD;2,381;2,123;258;566.1;8.9;2019
20241212;44;10502;SELVA;AMAZONAS;LUYA;CAMPORREDONDO;7,422;4,618;2,804;1,303.56;0.0;2019
20241212;45;10503;SELVA;AMAZONAS;LUYA;COCABAMBA;2,068;366;1,702;103.31;0.0;2019
20241212;46;10504;SIERRA;AMAZONAS;LUYA;COLCAMAR;1,975;1,268;707;289.4;0.0;2019
20241212;47;10505;SELVA;AMAZONAS;LUYA;CONILA;1,939;1,102;837;311.1;0.0;2019
20241212;48;10506;SIERRA;AMAZONAS;LUYA;INGUILPATA;502;342;160;78.1;0.0;2019
20241212;49;10507;SELVA;AMAZONAS;LUYA;LONGUITA;892;216;676;61.0;0.0;2019
20241212;50;10508;SIERRA;AMAZONAS;LUYA;LONYA CHICO;876;352;524;80.3;0.0;2019
20241212;51;10509;SIERRA;AMAZONAS;LUYA;LUYA;4,139;2,418;1,721;551.8;0.0;2019
20241212;52;10510;SIERRA;AMAZONAS;LUYA;LUYA VIEJO;407;407;0;92.9;1.4;2019
20241212;53;10511;SELVA;AMAZONAS;LUYA;MARIA;785;391;394;110.4;0.0;2019
20241212;54;10512;SELVA;AMAZONAS;LUYA;OCALLI;3,939;1,637;2,302;462.09;0.0;2019
20241212;55;10513;SELVA;AMAZONAS;LUYA;OCUMAL;3,734;542;3,192;152.99;0.0;2019
20241212;56;10514;SIERRA;AMAZONAS;LUYA;PISUQUIA;5,125;400;4,725;91.29;0.0;2019
20241212;57;10515;SIERRA;AMAZONAS;LUYA;PROVIDENCIA;1,399;269;1,130;61.39;0.0;2019
20241212;58;10516;SIERRA;AMAZONAS;LUYA;SAN CRISTOBAL;563;448;115;67.9;2.7;2019
20241212;59;10517;SIERRA;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;739;381;358;87.0;0.0;2019
20241212;60;10518;SIERRA;AMAZONAS;LUYA;SAN JERONIMO;645;212;433;46.47;0.0;2019
20241212;61;10519;SELVA;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;445;71;374;20.0;0.0;2019
20241212;62;10520;SIERRA;AMAZONAS;LUYA;SANTA CATALINA;2,114;441;1,673;100.64;0.0;2019
20241212;63;10521;SELVA;AMAZONAS;LUYA;SANTO TOMAS;3,127;902;2,225;254.6;0.0;2019
20241212;64;10522;SIERRA;AMAZONAS;LUYA;TINGO;1,367;787;580;179.6;0.0;2019
20241212;65;10523;SIERRA;AMAZONAS;LUYA;TRITA;1,449;898;551;196.8;0.0;2019
20241212;66;10601;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;6,399;5,305;1,094;1,272.44;21.4;2019
20241212;67;10602;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;2,799;71;2,728;20.04;0.0;2019
20241212;68;10603;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;633;550;83;134.04;0.8;2019
20241212;69;10604;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;2,722;794;1,928;224.13;0.0;2019
20241212;70;10605;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;2,465;447;2,018;126.18;0.0;2019
20241212;71;10606;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;1,691;905;786;255.46;0.0;2019
20241212;72;10607;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;1,566;1,054;512;297.52;0.0;2019
20241212;73;10608;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;439;250;189;70.57;0.0;2019
20241212;74;10609;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;9,830;615;9,215;175.39;0.0;2019
20241212;75;10610;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;534;159;375;44.88;0.0;2019
20241212;76;10611;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;290;66;224;18.63;0.0;2019
20241212;77;10612;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;3,754;415;3,339;117.15;0.0;2019
20241212;78;10701;SIERRA;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;57,076;39,646;17,430;14,219.00;184.3;2019
20241212;79;10702;SELVA;AMAZONAS;UTCUBAMBA;CAJARURO;24,794;8,262;16,532;2,240.18;0.0;2019
20241212;80;10703;SIERRA;AMAZONAS;UTCUBAMBA;CUMBA;8,819;3,243;5,576;740.11;0.0;2019
20241212;81;10704;SIERRA;AMAZONAS;UTCUBAMBA;EL MILAGRO;6,471;3,101;3,370;707.70;0.0;2019
20241212;82;10705;SIERRA;AMAZONAS;UTCUBAMBA;JAMALCA;7,269;1,370;5,899;371.47;0.0;2019
20241212;83;10706;SELVA;AMAZONAS;UTCUBAMBA;LONYA GRANDE;11,182;4,047;7,135;1,076.21;0.0;2019
20241212;84;10707;SIERRA;AMAZONAS;UTCUBAMBA;YAMON;3,242;585;2,657;133.51;0.0;2019
20241212;85;20101;SIERRA;ANCASH;HUARAZ;HUARAZ;67,418;61,229;6,189;24,583.44;181.0;2019
20241212;86;20102;SIERRA;ANCASH;HUARAZ;COCHABAMBA;1,723;450;1,273;102.70;0.0;2019
20241212;87;20103;SIERRA;ANCASH;HUARAZ;COLCABAMBA;293;125;168;28.53;0.0;2019
20241212;88;20104;SIERRA;ANCASH;HUARAZ;HUANCHAY;1,689;288;1,401;65.73;0.0;2019
20241212;89;20105;SIERRA;ANCASH;HUARAZ;INDEPENDENCIA;84,931;70,935;13,996;23,302.1;18.7;2019
20241212;90;20106;SIERRA;ANCASH;HUARAZ;JANGAS;5,138;2,645;2,493;441.34;0.0;2019
20241212;91;20107;SIERRA;ANCASH;HUARAZ;LA LIBERTAD;1,122;285;837;65.04;0.0;2019
20241212;92;20108;SIERRA;ANCASH;HUARAZ;OLLEROS;2,514;1,244;1,270;283.90;0.0;2019
20241212;93;20109;SIERRA;ANCASH;HUARAZ;PAMPAS /GRANDE;1,020;335;685;76.45;0.0;2019
20241212;94;20110;SIERRA;ANCASH;HUARAZ;PARIACOTO;5,163;1,344;3,819;294.58;0.0;2019
20241212;95;20111;SIERRA;ANCASH;HUARAZ;PIRA;3,518;1,155;2,363;263.59;0.0;2019
20241212;96;20112;SIERRA;ANCASH;HUARAZ;TARICA;7,337;2,007;5,330;261.6;0.0;2019
20241212;97;20201;SIERRA;ANCASH;AIJA;AIJA;2,175;1,064;1,111;210.27;7.9;2019
20241212;98;20202;SIERRA;ANCASH;AIJA;CORIS;1,683;393;1,290;89.69;0.0;2019
20241212;99;20203;SIERRA;ANCASH;AIJA;HUACLLAN;371;212;159;46.47;0.0;2019
20241212;100;20204;SIERRA;ANCASH;AIJA;LA MERCED;1,573;257;1,316;58.65;0.0;2019
20241212;101;20205;SIERRA;ANCASH;AIJA;SUCCHA;739;297;442;67.78;0.0;2019
20241212;102;20301;SIERRA;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;3,446;1,847;1,599;337.08;6.8;2019
20241212;103;20302;SIERRA;ANCASH;ANTONIO RAYMONDI;ACZO;1,988;798;1,190;182.12;0.0;2019
20241212;104;20303;SIERRA;ANCASH;ANTONIO RAYMONDI;CHACCHO;1,385;434;951;99.05;0.0;2019
20241212;105;20304;SIERRA;ANCASH;ANTONIO RAYMONDI;CHINGAS;1,956;884;1,072;201.74;0.0;2019
20241212;106;20305;SIERRA;ANCASH;ANTONIO RAYMONDI;MIRGAS;4,212;1,246;2,966;284.36;0.0;2019
20241212;107;20306;SIERRA;ANCASH;ANTONIO RAYMONDI;SAN JUAN DE RONTOY;1,181;184;997;41.99;0.0;2019
20241212;108;20401;SIERRA;ANCASH;ASUNCION;CHACAS;4,825;2,008;2,817;458.26;2.9;2019
20241212;109;20402;SIERRA;ANCASH;ASUNCION;ACOCHACA;2,980;245;2,735;55.91;0.0;2019
20241212;110;20501;SIERRA;ANCASH;BOLOGNESI;CHIQUIAN;4,095;3,815;280;736.02;6.0;2019
20241212;111;20502;SIERRA;ANCASH;BOLOGNESI;ABELARDO PARDO LEZAMETA;231;189;42;43.13;0.8;2019
20241212;112;20503;SIERRA;ANCASH;BOLOGNESI;ANTONIO RAYMONDI;1,034;345;689;78.73;0.0;2019
20241212;113;20504;SIERRA;ANCASH;BOLOGNESI;AQUIA;2,136;1,103;1,033;251.72;0.0;2019
20241212;114;20505;SIERRA;ANCASH;BOLOGNESI;CAJACAY;1,856;715;1,141;163.2;0.0;2019
20241212;115;20506;SIERRA;ANCASH;BOLOGNESI;CANIS;298;287;11;65.50;0.0;2019
20241212;116;20507;COSTA;ANCASH;BOLOGNESI;COLQUIOC;2,404;1,683;721;438.78;3.5;2019
20241212;117;20508;SIERRA;ANCASH;BOLOGNESI;HUALLANCA;6,610;5,514;1,096;2,185.12;26.4;2019
20241212;118;20509;SIERRA;ANCASH;BOLOGNESI;HUASTA;1,408;1,080;328;129.52;0.0;2019
20241212;119;20510;SIERRA;ANCASH;BOLOGNESI;HUAYLLACAYAN;1,361;353;1,008;80.56;0.0;2019
20241212;120;20511;SIERRA;ANCASH;BOLOGNESI;LA PRIMAVERA;458;344;114;60.99;0.0;2019
20241212;121;20512;SIERRA;ANCASH;BOLOGNESI;MANGAS;520;384;136;74.08;0.3;2019
